org.eclipse.swt.accessibility.ACC.java	acc 
org.eclipse.swt.internal.win32.OS.java	os version callwindowproc charupp charlow choosecolor choosefont createacceleratort createdc createfontindirect createfontindirect createwindowex defmdichildproc defframeproc defwindowproc dispatchmessag dragqueryfil drawstat drawtext enumfontfamili enumfontfamiliesex enumsystemlocal enumsystemlanguagegroup expandenvironmentstr extracticonex exttextout findwindow formatmessag getcharabcwidth getcharacterplac getcharwidth getclassinfo getclassnam getclipboardformatnam getkeynametext getlocaleinfo getmenuiteminfo getmessag getmodulehandl getmonitorinfo getobject getobject getobject getobject getobject getobject getobject getopenfilenam getprofilestr getprop getsavefilenam gettextextentpoint32 gettextmetr getversionex getwindowlong getwindowtext getwindowtextlength globaladdatom immgetcompositionfont immsetcompositionfont immgetcompositionstr insertmenu insertmenuitem loadbitmap loadcursor loadicon loadimag loadimag loadlibrari loadstr mapvirtualkei messagebox movememori movememori movememori movememori movememori movememori movememori peekmessag postmessag postthreadmessag printdlg regenumkeyex registerclass registerclipboardformat registerwindowmessag regopenkeyex regqueryinfokei regqueryvalueex regqueryvalueex removeprop sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag sendmessag setmenuiteminfo setprop setwindowlong setwindowshookex setwindowtext shbrowseforfold shellexecuteex shell_notifyicon shgetpathfromidlist startdoc systemparametersinfo systemparametersinfo systemparametersinfo systemparametersinfo translateacceler unregisterclass vkkeyscan abortdoc activatekeyboardlayout adjustwindowrectex alphablend arc begindeferwindowpo beginpaint beginpath bitblt bringwindowtotop call callnexthookex callwindowprocw callwindowproca charlowerw charlowera charupperw charuppera checkmenuitem choosecolorw choosecolora choosefontw choosefonta clienttoscreen closeclipboard closethemedata cocreateinst combinergn commandbar_addadorn commandbar_cr commandbar_destroi commandbar_drawmenubar commandbar_height commandbar_insertmenubarex commandbar_show commdlgextendederror copyimag createacceleratortablew createacceleratortablea createbitmap createcaret createcompatiblebitmap createcompatibledc createcursor createdcw createdca createdibsect createfontindirectw createfontindirecta createfontindirectw createfontindirecta createiconindirect createmenu createpalett createpatternbrush createpen createpolygonrgn createpopupmenu createrectrgn createsolidbrush createstreamonhglob createwindowexw createwindowexa deferwindowpo defmdichildprocw defmdichildproca defframeprocw defframeproca defwindowprocw defwindowproca deletedc deletemenu deleteobject destroyacceleratort destroycaret destroycursor destroyicon destroymenu destroywindow dispatchmessagew dispatchmessagea dragdetect dragfinish dragqueryfilea dragqueryfilew drawedg drawfocusrect drawframecontrol drawiconex drawmenubar drawstatew drawstatea drawtextw drawtexta drawthemebackground ellips enablemenuitem enablescrollbar enablewindow enumsystemlanguagegroupsw enumsystemlanguagegroupsa enumsystemlocalesw enumsystemlocalesa enddeferwindowpo enddoc endpag endpaint endpath enumdisplaymonitor enumfontfamiliesw enumfontfamiliesa enumfontfamiliesexw enumfontfamiliesexa equalrect equalrgn excludecliprect expandenvironmentstringsw expandenvironmentstringsa extcreatepen extcreateregion exttextoutw exttextouta extracticonexw extracticonexa fillrect fillpath findwindowa findwindoww formatmessagea formatmessagew freelibrari gdisetbatchlimit getacp getactivewindow getbkcolor getcaptur getcaretpo getcharabcwidthsa getcharabcwidthsw getcharacterplacementw getcharacterplacementa getcharwidtha getcharwidthw getclassinfow getclassinfoa getclassnamew getclassnamea getclientrect getclipboarddata getclipboardformatnamea getclipboardformatnamew getclipbox getcliprgn getcomboboxinfo getcurrentobject getcurrentprocessid getcurrentthreadid getcursor getcursorpo getdc getdcex getdesktopwindow getdevicecap getdialogbaseunit getdibcolort getdibit getdlgitem getdoubleclicktim getfocu getfontlanguageinfo getforegroundwindow getguithreadinfo geticoninfo getkeyboardlayoutlist getkeyboardlayout getkeyst getkeyboardst getkeynametextw getkeynametexta getlastactivepopup getlasterror getlayout getlibraryhandl getlocaleinfow getlocaleinfoa getmenu getmenubarinfo getmenudefaultitem getmenuinfo getmenuitemcount getmenuiteminfow getmenuiteminfoa getmenuitemrect getmessagew getmessagea getmessagepo getmessagetim getmetargn gettextcharset gettickcount getmodulehandlew getmodulehandlea getmonitorinfow getmonitorinfoa getnearestpaletteindex getobjecta getobjectw getobjecta getobjectw getobjecta getobjectw getobjecta getobjectw getobjecta getobjectw getobjecta getobjectw getobjecta getobjectw getopenfilenamew getopenfilenamea getpaletteentri getpar getpixel getpolyfillmod getprocaddress getprocessheap getprofilestringw getprofilestringa getpropw getpropa getrandomrgn getregiondata getrgnbox getrop2 getsavefilenamew getsavefilenamea getscrollinfo getstockobject getsyscolor getsyscolorbrush getsystemdefaultuilanguag getsystemmenu getsystemmetr getsystempaletteentri gettextcolor gettextextentpoint32w gettextextentpoint32a gettextmetricsw gettextmetricsa getupdaterect getupdatergn getversionexw getversionexa getwindow getwindowlongw getwindowlonga getwindoworgex getwindowplac getwindowrect getwindowrgn getwindowtextw getwindowtexta getwindowtextlengthw getwindowtextlengtha getwindowthreadprocessid getworldtransform globaladdatomw globaladdatoma globalalloc globalfre globallock globals globalunlock gradientfil heapalloc heapfre hidecaret iidfromstr imagelist_add imagelist_addmask imagelist_cr imagelist_destroi imagelist_geticon imagelist_geticons imagelist_getimagecount imagelist_remov imagelist_replac imagelist_replaceicon imagelist_seticons immassociatecontext immcreatecontext immdestroycontext immdisabletextframeservic immgetcompositionfontw immgetcompositionfonta immgetcompositionstringw immgetcompositionstringa immgetcontext immgetconversionstatu immgetdefaultimewnd immgetopenstatu immreleasecontext immsetcompositionfontw immsetcompositionfonta immsetcompositionwindow immsetconversionstatu immsetopenstatu initcommoncontrol initcommoncontrolsex insertmenuw insertmenua insertmenuitemw insertmenuitema intersectcliprect intersectrect invalidaterect invalidatergn isappthem isdbcsleadbyt ishungappwindow isicon isppc issp iswindowen iswindowvis iszoom killtim lineto loadbitmapw loadbitmapa loadcursorw loadcursora loadiconw loadicona loadimagew loadimagea loadimagew loadimagea loadstringw loadstringa loadlibraryw loadlibrarya localfre mapvirtualkeyw mapvirtualkeya mapwindowpoint mapwindowpoint messagebeep messageboxw messageboxa monitorfromwindow movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movememori movetoex msgwaitformultipleobjectsex multibytetowidechar multibytetowidechar notifywinev offsetrect offsetrgn oleiniti oleuniniti openclipboard openthemedata patblt peekmessagew peekmessagea pie polygon polylin postmessagew postmessagea postthreadmessagew postthreadmessagea primarylangid printdlgw printdlga ptinrect ptinregion realizepalett rectangl rectinregion redrawwindow regclosekei registerclassw registerclassa registerwindowmessagew registerwindowmessagea regenumkeyexw registerclipboardformata registerclipboardformatw regopenkeyexw regqueryinfokeyw regqueryvalueexw regqueryvalueexw regenumkeyexa regopenkeyexa regqueryinfokeya regqueryvalueexa regqueryvalueexa releasecaptur releasedc removemenu removepropa removepropw restoredc roundrect savedc screentocli scriptbreak scriptgetproperti scriptcachegetheight scriptcptox scriptfreecach scriptgetfontproperti scriptgetlogicalwidth scriptitem scriptlayout scriptplac scriptshap scripttextout scriptxtocp scrollwindowex selectcliprgn selectobject selectpalett sendinput sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagew sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea sendmessagea setactivewindow setbkcolor setbkmod setcaptur setcaretpo setclipboarddata setcursor setcursorpo setdibcolort seterrormod setfocu setforegroundwindow setgraphicsmod setlayout setmenu setmenudefaultitem setmenuinfo setmenuiteminfow setmenuiteminfoa setmetargn setpaletteentri setpar setpixel setpolyfillmod setrect setrectrgn setrop2 setscrollinfo setstretchbltmod setpropw setpropa settextalign settextcolor settim setwindowlongw setwindowlonga setwindoworgex setwindowplac setwindowpo setwindowrgn setwindowtextw setwindowtexta setwindowshookexw setwindowshookexa setworldtransform shbrowseforfolderw shbrowseforfoldera shcreatemenubar shhandlewmsettingchang shrecognizegestur shsendbacktofocuswindow shsipprefer shellexecuteexw shellexecuteexa shell_notifyicona shell_notifyiconw shgetmalloc shgetpathfromidlistw shgetpathfromidlista shsetappkeywndassoc showcaret showownedpopup showscrollbar showwindow sipgetinfo startdocw startdoca startpag stretchblt strokepath systemparametersinfow systemparametersinfoa systemparametersinfow systemparametersinfoa systemparametersinfow systemparametersinfoa systemparametersinfow systemparametersinfoa toascii tounicod trackmouseev trackpopupmenu translateacceleratorw translateacceleratora translatecharsetinfo translatemdisysaccel translatemessag transparentblt transparentimag unhookwindowshookex unregisterclassw unregisterclassa updatewindow validaterect vkkeyscanw vkkeyscana vtblcall vtblcall vtblcall vtblcall waitmessag widechartomultibyt widechartomultibyt windowfromdc windowfrompoint strlen wcslen 
org.eclipse.swt.internal.win32.OSVERSIONINFO.java	osversioninfo 
org.eclipse.swt.internal.win32.OSVERSIONINFOA.java	osversioninfoa 
org.eclipse.swt.internal.win32.OSVERSIONINFOW.java	osversioninfow 
org.eclipse.swt.internal.win32.PAINTSTRUCT.java	paintstruct 
org.eclipse.swt.internal.win32.POINT.java	point 
org.eclipse.swt.internal.win32.PRINTDLG.java	printdlg 
org.eclipse.swt.internal.win32.REBARBANDINFO.java	rebarbandinfo 
org.eclipse.swt.internal.win32.RECT.java	rect 
org.eclipse.swt.internal.win32.SCRIPT_ANALYSIS.java	script_analysi 
org.eclipse.swt.internal.win32.SCRIPT_CONTROL.java	script_control 
org.eclipse.swt.internal.win32.SCRIPT_FONTPROPERTIES.java	script_fontproperti 
org.eclipse.swt.internal.win32.SCRIPT_ITEM.java	script_item 
org.eclipse.swt.internal.win32.SCRIPT_LOGATTR.java	script_logattr 
org.eclipse.swt.internal.win32.SCRIPT_PROPERTIES.java	script_properti 
org.eclipse.swt.internal.win32.SCRIPT_STATE.java	script_stat 
org.eclipse.swt.internal.win32.SCROLLINFO.java	scrollinfo 
org.eclipse.swt.internal.win32.SHACTIVATEINFO.java	shactivateinfo 
org.eclipse.swt.internal.win32.SHELLEXECUTEINFO.java	shellexecuteinfo 
org.eclipse.swt.internal.win32.SHMENUBARINFO.java	shmenubarinfo 
org.eclipse.swt.internal.win32.SHRGINFO.java	shrginfo 
org.eclipse.swt.internal.win32.SIPINFO.java	sipinfo 
org.eclipse.swt.internal.win32.SIZE.java	size 
org.eclipse.swt.internal.win32.TBBUTTON.java	tbbutton 
org.eclipse.swt.internal.win32.TBBUTTONINFO.java	tbbuttoninfo 
org.eclipse.swt.internal.win32.TCHAR.java	tchar tchar tchar tchar tchar getchar length strlen tcharat tostr tostr 
org.eclipse.swt.internal.win32.TCITEM.java	tcitem 
org.eclipse.swt.internal.win32.TEXTMETRIC.java	textmetr 
org.eclipse.swt.internal.win32.TEXTMETRICA.java	textmetrica 
org.eclipse.swt.internal.win32.TEXTMETRICW.java	textmetricw 
org.eclipse.swt.internal.win32.TOOLINFO.java	toolinfo 
org.eclipse.swt.internal.win32.TRACKMOUSEEVENT.java	trackmouseev 
org.eclipse.swt.internal.win32.TRIVERTEX.java	trivertex 
org.eclipse.swt.internal.win32.TVHITTESTINFO.java	tvhittestinfo 
org.eclipse.swt.internal.win32.TVINSERTSTRUCT.java	tvinsertstruct 
org.eclipse.swt.internal.win32.TVITEM.java	tvitem 
org.eclipse.swt.internal.win32.UDACCEL.java	udaccel 
org.eclipse.swt.internal.win32.WINDOWPLACEMENT.java	windowplac 
org.eclipse.swt.internal.win32.WINDOWPOS.java	windowpo 
org.eclipse.swt.internal.win32.WNDCLASS.java	wndclass 
org.eclipse.swt.layout.FillData.java	filldata computes flushcach 
org.eclipse.swt.layout.FillLayout.java	filllayout filllayout filllayout computes computechilds flushcach getnam layout tostr 
org.eclipse.swt.layout.FormAttachment.java	formattach formattach formattach formattach formattach formattach formattach formattach divid gcd minu minu plu plu solvex solvei tostr 
org.eclipse.swt.layout.FormData.java	formdata formdata formdata computes flushcach getwidth getheight getbottomattach getleftattach getnam getrightattach gettopattach tostr 
org.eclipse.swt.layout.FormLayout.java	formlayout formlayout computeheight computes flushcach getnam computewidth layout layout tostr 
org.eclipse.swt.layout.GridData.java	griddata griddata griddata griddata griddata griddata computes flushcach getnam tostr 
org.eclipse.swt.layout.GridLayout.java	gridlayout gridlayout gridlayout computes flushcach getdata layout layout getnam tostr 
org.eclipse.swt.layout.RowData.java	rowdata rowdata rowdata rowdata getnam tostr 
org.eclipse.swt.layout.RowLayout.java	rowlayout rowlayout rowlayout computes computes flushcach getnam layout layouthorizont layoutvert tostr 
org.eclipse.swt.ole.win32.OLE.java	ol error error findprogramid getkeyvalu getkeyexist isolefil 
org.eclipse.swt.ole.win32.OleAutomation.java	oleautom oleautom oleautom dispos getaddress gethelpfil getdocument getpropertydescript getfunctiondescript gettypeinfoattribut getnam getnam getidsofnam getlasterror getproperti getproperti getproperti invok invok invok invok invokenorepli invokenorepli invokenorepli manageexcepinfo setproperti setproperti 
org.eclipse.swt.ole.win32.OleClientSite.java	oleclientsit oleclientsit oleclientsit oleclientsit oleclientsit addobjectrefer addref caninplaceactiv contextsensitivehelp createcominterfac createtempstorag deactivateinplacecli deletetempstorag disposecominterfac doverb exec getautomationobject getclassid getcontain getext getind getprogramid activatem getwindow getrect getwindowcontext isdirti isfocuscontrol onclos ondatachang ondispos onfocusin onfocusout oninplaceactiv oninplacedeactiv onposrectchang onpaint onres onsav onshowwindow onuiactiv onuideactiv ontravers onviewchang queryinterfac querystatu releas releaseobjectinterfac save savefromcont savefromole10n saveobject savetostoragefil savetotraditionalfil scroll setborderspac setext setind setobjectrect showobject showproperti updatestorag xformhimetrictopixel xformpixelstohimetr 
org.eclipse.swt.ole.win32.OleControlSite.java	olecontrolsit olecontrolsit addeventlisten getdefaulteventsinkguid addeventlisten addeventlisten addobjectrefer addpropertylisten connectpropertychangesink createcominterfac disconnecteventsink disconnectpropertychangesink disposecominterfac getbackground getfont getforeground getlicenseinfo getsiteproperti getwindow invok oncontrolinfochang onfocusin onfocusout onfocu onuideactiv queryinterfac releas releaseobjectinterfac removeeventlisten removeeventlisten removeeventlisten removeeventlisten removepropertylisten setbackground setfont setforeground setsiteproperti 
org.eclipse.swt.ole.win32.OleEvent.java	oleev 
org.eclipse.swt.ole.win32.OleEventSink.java	oleeventsink oleeventsink connect addlisten addref createcominterfac disconnect disposecominterfac invok notifylisten queryinterfac releas removelisten haslisten 
org.eclipse.swt.ole.win32.OleEventTable.java	oleeventt hook hook sendev unhook hasentri 
org.eclipse.swt.ole.win32.OleFrame.java	olefram olefram initcheckfocu initmsghook getmsgproc addref contextsensitivehelp createcominterfac disposecominterfac getbord getcontainermenu getfilemenu getioleinplacefram getmenuitemid getwindow getwindowmenu insertmenu ondispos onres queryinterfac releas releaseobjectinterfac removemenu requestborderspac setactiveobject setborderspac setcontainermenu getcurrentdocu setcurrentdocu setfilemenu setmenu setwindowmenu translateoleacceler translateacceler 
org.eclipse.swt.ole.win32.OleFunctionDescription.java	olefunctiondescript 
org.eclipse.swt.ole.win32.OleListener.java	olelisten handleev 
org.eclipse.swt.ole.win32.OleParameterDescription.java	oleparameterdescript 
org.eclipse.swt.ole.win32.OlePropertyChangeSink.java	olepropertychangesink olepropertychangesink addlisten addref connect createcominterfac disconnect disposecominterfac notifylisten onchang onrequestedit queryinterfac releas removelisten 
org.eclipse.swt.ole.win32.OlePropertyDescription.java	olepropertydescript 
org.eclipse.swt.ole.win32.Variant.java	variant variant variant variant variant variant variant variant variant variant variant dispos getautom getdispatch getboolean getbyref getdata getfloat getint getshort getstr gettyp getunknown setbyref setbyref setbyref setbyref setdata tostr 
org.eclipse.swt.printing.PrintDialog.java	printdialog printdialog printdialog getscop setscop getstartpag setstartpag getendpag setendpag getprinttofil setprinttofil checksubclass open 
org.eclipse.swt.printing.Printer.java	printer getprinterlist getdefaultprinterdata checknul printer printer creat internal_new_gc internal_dispose_gc startjob endjob canceljob startpag endpag getdpi getbound getclientarea computetrim getprinterdata checkdevic releas destroi 
org.eclipse.swt.printing.PrinterData.java	printerdata printerdata printerdata tostr 
org.eclipse.swt.program.Program.java	program program findprogram getextens getkeyvalu getprogram getprogram launch execut getimagedata getnam equal hashcod tostr 
org.eclipse.swt.SWT.java	swt finderrortext getmessag getplatform getvers error error error 
org.eclipse.swt.SWTError.java	swterror swterror swterror swterror swterror getcaus getmessag printstacktrac 
org.eclipse.swt.SWTException.java	swtexcept swtexcept swtexcept swtexcept swtexcept getcaus getmessag printstacktrac 
org.eclipse.swt.widgets.Button.java	button button _setimag addselectionlisten callwindowproc checkstyl click computes defaultbackground defaultforeground enablewidget getalign getdefault getimag getnametext getselect gettext istabitem mnemonichit mnemonicmatch releasewidget removeselectionlisten selectradio setalign setdefault setfixedfocu setimag setradiofocu setradioselect setsavedfocu setselect settext widgetstyl windowclass windowproc wm_getdlgcod wm_killfocu wm_lbuttondown wm_lbuttonup wm_setfocu wm_syscolorchang wmcolorchild wmcommandchild wmdrawchild 
org.eclipse.swt.widgets.Canvas.java	canva canva canva cleararea getcaret releasewidget scroll setcaret setfont wm_inputlangchang wm_killfocu wm_setfocu wm_size wm_windowposchang wm_windowposchang 
org.eclipse.swt.widgets.Caret.java	caret caret createwidget defaultfont getbound getfont getimag getloc getpar getsiz getvis hasfocu isfocuscaret isvis killfocu move resizeim releasechild releasewidget resiz restoreimefont setbound setbound setfocu setfont setimag setimefont setloc setloc setsiz setsiz setvis 
org.eclipse.swt.widgets.ColorDialog.java	colordialog colordialog colordialog cchookproc getrgb open setrgb 
org.eclipse.swt.widgets.Combo.java	combo combo add add addmodifylisten addselectionlisten addverifylisten callwindowproc checkhandl checksubclass checkstyl clearselect computes copi createhandl cut defaultbackground deregist deselect deselectal getitem getitemcount getitemheight getitem getnametext getorient getselect getselectionindex gettext gettextheight gettextlimit getvisibleitemcount hasfocu indexof indexof mbcstowcspo past regist remov remov remov removeal removemodifylisten removeselectionlisten removeverifylisten sendkeyev select setbackgroundpixel setbound setforegroundpixel setitem setitem setorient setselect settext settextlimit setvisibleitemcount subclass translatetravers traverseescap unsubclass verifytext wcstombcspo widgetextstyl widgetstyl windowclass windowproc windowproc wm_ctlcolor wm_getdlgcod wm_killfocu wm_lbuttondown wm_setfocu wm_size wmchar wmclipboard wmcommandchild wmimechar 
org.eclipse.swt.widgets.Composite.java	composit composit composit _getchildren _gettablist chang checkbuff checksubclass computetablist computes createhandl findmenu fixchildren fixtablist getchildren getchildrencount getlayout gettablist hookskei getlayoutdef islayoutdef layout layout layout layout marklayout minimums releasechildren releasewidget removecontrol resizechildren resizechildren resizeembeddedhandl setfixedfocu setfocu setlayout setlayoutdef settablist setresizechildren settabgroupfocu tooltiptext translatemnemon translatetravers updatefont updatelayout widgetstyl wm_erasebkgnd wm_getdlgcod wm_getfont wm_lbuttondown wm_notifi wm_parentnotifi wm_paint wm_printclient wm_setfont wm_size wm_syscolorchang wm_syscommand 
org.eclipse.swt.widgets.Control.java	control control control addcontrollisten addfocuslisten addhelplisten addkeylisten addmouselisten addmousetracklisten addmousemovelisten addpaintlisten addtraverselisten borderhandl checkbord checkbuff checkhandl checkmirror computes computes computetabgroup computetabroot computetablist createhandl createwidget defaultbackground defaultfont defaultforeground deregist destroywidget drawbackground drawbackground drawbackground drawthemebackground enablewidget findbrush findcursor findthemecontrol findmenu findmnemon fixchildren fixfocu forcefocu forceres getaccess getbackground getbackgroundpixel getborderwidth getbound getcodepag getclipboardtext geten getfont getforeground getforegroundpixel getlayoutdata getloc getmenu getmonitor getpar getpath getshel getsiz gettooltiptext getvis hascursor hasfocu internal_new_gc internal_dispose_gc isact isen isfocuscontrol isfocusancestor isreparent isshow istabgroup istabitem isvis mapev marklayout menushel mnemonichit mnemonicmatch moveabov movebelow new_access new_gc pack pack redraw redraw regist releasechild releasehandl releasewidget removecontrollisten removefocuslisten removehelplisten removekeylisten removemousetracklisten removemouselisten removemousemovelisten removepaintlisten removetraverselisten showwidget sendfocusev setbackground setbackgroundpixel setbound setbound setbound setbound setcaptur setcursor setcursor setdefaultfont seten setfixedfocu setfocu setfont setforeground setforegroundpixel setlayoutdata setloc setloc setmenu setradiofocu setradioselect setredraw setsavedfocu setsiz setsiz settabgroupfocu settabitemfocu settooltiptext setvis sort subclass tocontrol tocontrol todisplai todisplai tophandl translateacceler translatemnemon translatemnemon translatetravers travers travers traverseescap traversegroup traverseitem traversemnemon traversepag traversereturn unsubclass updat updat updatefont updatelayout widgetcreatestruct widgetextstyl widgetpar widgetstyl setpar windowclass windowproc windowproc wm_activ wm_capturechang wm_char wm_clear wm_close wm_command wm_contextmenu wm_ctlcolor wm_cut wm_destroi wm_drawitem wm_endsess wm_enteridl wm_erasebkgnd wm_getdlgcod wm_getfont wm_getobject wm_getminmaxinfo wm_hotkei wm_help wm_hscroll wm_ime_char wm_ime_composit wm_initmenupopup wm_inputlangchang wm_keydown wm_keyup wm_killfocu wm_lbuttondblclk wm_lbuttondown wm_lbuttonup wm_mbuttondblclk wm_mbuttondown wm_mbuttonup wm_measureitem wm_menuchar wm_menuselect wm_mouseactiv wm_mousehov wm_mouseleav wm_mousemov wm_mousewheel wm_move wm_ncactiv wm_nccalcsiz wm_nchittest wm_nclbuttondown wm_notifi wm_paint wm_palettechang wm_parentnotifi wm_past wm_printclient wm_queryendsess wm_querynewpalett wm_queryopen wm_rbuttondblclk wm_rbuttondown wm_rbuttonup wm_setcursor wm_setfocu wm_settingchang wm_setfont wm_setredraw wm_showwindow wm_size wm_syschar wm_syscolorchang wm_syscommand wm_syskeydown wm_syskeyup wm_timer wm_undo wm_vscroll wm_windowposchang wm_windowposchang wm_xbuttondblclk wm_xbuttondown wm_xbuttonup wmcolorchild wmcommandchild wmdrawchild wmmeasurechild wmnotifychild wmscrollchild 
org.eclipse.swt.widgets.CoolBar.java	coolbar coolbar callwindowproc checkstyl checksubclass computes createhandl createitem createwidget destroyitem getmargin findthemecontrol getitem getitemcount getitemord getitem getitems getlastindexofrow islastitemofrow getlock getwrapindic indexof resizetopreferredwidth resizetomaximumwidth releasewidget removecontrol setbackgroundpixel setforegroundpixel setitemcolor setitemlayout setitemord setitems setlock setwrapindic widgetstyl windowclass windowproc wm_command wm_erasebkgnd wm_notifi wm_setredraw wm_size wmnotifychild 
org.eclipse.swt.widgets.CoolItem.java	coolitem coolitem coolitem addselectionlisten checksubclass computes getbound getclientarea getcontrol getpar releasechild releasewidget setcontrol getpreferreds setpreferreds setpreferreds getsiz setsiz setsiz getminimums setminimums setminimums getwrap setwrap removeselectionlisten 
org.eclipse.swt.widgets.Decorations.java	decor decor decor addmenu bringtotop checkstyl checkbord checkopen checksubclass callwindowproc closewidget compar computetabgroup computetabroot computetrim createacceler createicon createhandl createwidget destroyacceler dispos findmenu fixdecor getbound getclientarea getdefaultbutton getimag getimag getloc getmaxim getmenubar getminim getnametext getsiz gettext isreparent istabgroup istabitem menushel releasewidget removemenu restorefocu savefocu setbound setdefaultbutton setdefaultbutton setimag setimag setimag setmaxim setmenubar setminim setpar setplac setsavedfocu setsystemmenu settext setvis sort translateacceler translatemenuacceler translatemdiacceler traversedecor traverseitem traversereturn widgetcreatestruct widgetextstyl widgetpar widgetstyl windowproc wm_activ wm_close wm_hotkei wm_killfocu wm_move wm_ncactiv wm_queryopen wm_setfocu wm_size wm_syscommand wm_windowposchang 
org.eclipse.swt.widgets.Dialog.java	dialog dialog dialog checksubclass checkpar error getpar getstyl gettext settext 
org.eclipse.swt.widgets.DirectoryDialog.java	directorydialog directorydialog directorydialog browsecallbackproc getfilterpath getmessag open setfilterpath setmessag 
org.eclipse.swt.widgets.Display.java	displai setdevic displai displai _getfocuscontrol addbar addcontrol addfilt addlisten addmenuitem addpopup asciikei asyncexec beep checksubclass checkdevic checkdisplai clearmod controlkei close creat createdisplai create32bitdib createmaskfromalpha deregist destroi destroydisplai disposeexec drawmenubar embeddedproc error filterev filter filtermessag findcontrol findwidget findwidget foregroundidleproc finddisplai getactiveshel getbound getcurr getclientarea getcontrol getcursorcontrol getcursorloc getcursors getdefault isvalidclass getdata getdata getdismissalalign getdoubleclicktim getfocuscontrol gethighcontrast geticondepth geticons getimagelist getimagelisttoolbar getimagelisttoolbardis getimagelisttoolbarhot getlasteventtim getmenuitem getmessagecount getmodalshel getmodaldialogshel getmonitor getmsgproc getprimarymonitor getshel getsyncthread getsystemcolor getsystemcursor getsystemfont getsystemimag getsystemtrai getthread internal_new_gc init internal_dispose_gc isxmouseact isvalidthread map map map map mbcstowc mbcstowc messageproc monitorenumproc msgfilterproc numpadkei post postev readanddispatch regist releas releasedisplai releaseimagelist releasetoolimagelist releasetoolhotimagelist releasetooldisabledimagelist removefilt removelisten removebar removecontrol removemenuitem removepopup runasyncmessag rundeferredev runpopup runtim sendev setcursorloc setcursorloc setdata setdata setappnam setmodaldialogshel setmodalshel setsynchron shiftedkei sleep syncexec systemfont timerexec translateacceler translatekei translatemnemon translatetravers untranslatekei updat updatefont wake wakethread wcstombc wcstombc windowproc withcrlf 
org.eclipse.swt.widgets.Event.java	event getbound setbound tostr 
org.eclipse.swt.widgets.EventTable.java	eventt hook hook sendev size remov unhook unhook 
org.eclipse.swt.widgets.FileDialog.java	filedialog filedialog filedialog getfilenam getfilenam getfilterextens getfilternam getfilterpath open setfilenam setfilterextens setfilternam setfilterpath 
org.eclipse.swt.widgets.FontDialog.java	fontdialog fontdialog fontdialog getfontdata getfontlist getrgb open setfontdata setfontlist setrgb 
org.eclipse.swt.widgets.Group.java	group group callwindowproc checkstyl checksubclass computes computetrim createhandl getclientarea getnametext gettext mnemonichit mnemonicmatch settext widgetstyl windowclass windowproc wm_erasebkgnd wm_nchittest wm_mousemov wm_printclient wm_size wmcolorchild 
org.eclipse.swt.widgets.ImageList.java	imagelist imagelist add addref copybitmap copyicon copywithalpha createmask dispos get getstyl gethandl getimages indexof put remov removeref set size 
org.eclipse.swt.widgets.Item.java	item item item checksubclass getimag getnametext gettext releasewidget setimag settext 
org.eclipse.swt.widgets.Label.java	label label _setimag callwindowproc checkstyl computes getalign getimag getnametext gettext getwrap mnemonichit mnemonicmatch releasewidget setalign setimag settext setwrap widgetextstyl widgetstyl windowclass windowproc wm_erasebkgnd wm_getfont wm_setfont wm_size wmcolorchild wm_syscolorchang wmdrawchild 
org.eclipse.swt.widgets.Layout.java	layout computes flushcach layout 
org.eclipse.swt.widgets.Link.java	link link addselectionlisten callwindowproc computes createhandl createwidget drawwidget enablewidget initaccess getnametext getrectangl gettext pars parsemnemon releasewidget removeselectionlisten settext widgetstyl windowclass windowproc wm_char wm_getdlgcod wm_getfont wm_keydown wm_killfocu wm_lbuttondown wm_lbuttonup wm_mousemov wm_paint wm_printclient wm_setfocu wm_setfont wm_size wmcolorchild wmnotifychild 
